Dates,Consumer confidence U. Michigan,CPI (mom),CPI ex-food & Energy (mom),Deficit - Surplus Gov (% GDP),Existing home sales (%),GDP %,Gov. Spending Idx,Housing starts,Industrial Production Idx (mom),Inventory Idx,ISM Manufacturing index,ISM non Manufacturing index,Money Supply (yoy),Money Supply M2 Idx (yoy),Net Change in total employment,NonFarm Payrolls,Personal Consumption (qoq),Private Investment,Retail sales (mom%),Retail sales ex-auto (mom%),Trading Balance, Unemployment rate ,Private industries,Mining,Utilities,Construction,Durable goods,Nondurable goods,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance and insurance,Real estate and rental and leasing,Professional and business services,Educational services,Health care and social assistance,"Arts, entertainment, and recreation",Government
31/12/1999,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
01/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
02/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
03/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
04/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
05/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
06/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
07/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
08/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
09/01/2000,105.4,0.2,0.2,1.6,-0.2,6.7,6.4,1708,0.77,0.5,57.8,56.9,16.36,6,214,307,6,11.2,1.8,2.6,-25.94,4,76.975,31.955,70.626,55.588,130.143,64.305,76.235,82.227,68.311,112.926,80.585,77.734,72.814,59.615,70.301,68.878,64.621
