Dates,FED policy,Gold,S&P 500,USD LIBOR 12M,USD LIBOR 3M,USDX,UST 10Y,UST 2Y,UST10Y-2Y,VIX,Aluminum,BBG commodity index,Cooper,Corn,Natural Gas,Nickel,Oil,Soy bean oil,Sugar,Wheat,Zinc,Financial Conditions, BBG IG Credit Index , BBG HY Credit Index 
31/12/1999,5.5,288,1469.25,6.6,6.04,101.87,6.44,6.21,0.23,24.64,1630,92.05,84.8,200.75,2.18,8460,25.55,15.44,6.1,247.5,1227.5,-0.015,1.11,4.67
01/01/2000,5.5,288,1469.25,6.6,6.04,101.87,6.44,6.21,0.23,24.64,1630,92.05,84.8,200.75,2.18,8460,25.55,15.44,6.1,247.5,1227.5,-0.015,1.11,4.67
02/01/2000,5.5,288,1469.25,6.6,6.04,101.87,6.44,6.21,0.23,24.64,1630,92.05,84.8,200.75,2.18,8460,25.55,15.44,6.1,247.5,1227.5,-0.015,1.11,4.67
03/01/2000,5.5,289,1455.22,6.6,6.04,100.22,6.59,6.38,0.21,24.21,1630,92.05,84.8,200.75,2.18,8460,25.55,15.44,6.1,247.5,1227.5,0.159,1.11,4.67
04/01/2000,5.5,281.9,1399.42,6.6,6.04,100.41,6.5,6.3,0.2,27.01,1611.25,91.5,84.8,203,2.18,8295,25.55,15.57,5.77,247.25,1210,-0.085,1.11,4.67
05/01/2000,5.5,281.05,1402.11,6.57,6.03,100.38,6.59,6.36,0.23,26.41,1630.5,91,85.65,203,2.17,8289,24.91,15.74,5.81,249.75,1204.75,-0.016,1.11,4.67
06/01/2000,5.5,280.5,1403.45,6.58,6.03,100.48,6.52,6.3,0.22,25.73,1635.25,91.04,85.3,203.75,2.2,8238.5,24.78,15.72,5.77,248.5,1208.5,-0.106,1.11,4.67
07/01/2000,5.5,282.15,1441.47,6.58,6.03,100.72,6.52,6.31,0.21,21.72,1648,90.75,85.4,207,2.17,8162,24.22,15.9,5.84,251.75,1206.25,0.088,1.11,4.67
08/01/2000,5.5,282.15,1441.47,6.58,6.03,100.72,6.52,6.31,0.21,21.72,1648,90.75,85.4,207,2.17,8162,24.22,15.9,5.84,251.75,1206.25,0.088,1.11,4.67
09/01/2000,5.5,282.15,1441.47,6.58,6.03,100.72,6.52,6.31,0.21,21.72,1648,90.75,85.4,207,2.17,8162,24.22,15.9,5.84,251.75,1206.25,0.088,1.11,4.67
10/01/2000,5.5,281.4,1457.6,6.57,6.03,100.99,6.55,6.36,0.19,21.71,1633.45,90.99,84.65,208.5,2.22,8120,24.67,15.71,5.83,253.5,1194.25,0.127,1.11,4.67
11/01/2000,5.5,283.25,1438.56,6.59,6.03,100.56,6.66,6.43,0.23,22.5,1638,92.05,84.35,207.25,2.26,8044,25.77,15.57,5.67,253.75,1182.75,0.202,1.11,4.67
12/01/2000,5.5,281.7,1432.25,6.62,6.04,100.62,6.7,6.47,0.23,22.84,1641.5,93.16,86.6,215.5,2.24,8184,26.28,15.68,5.45,258.75,1193.85,0.237,1.11,4.67
13/01/2000,5.5,283.6,1449.68,6.65,6.04,101,6.63,6.39,0.24,21.71,1633.3,93.8,85.65,220.75,2.25,8105.7,26.69,16.12,5.49,263.5,1193.65,0.179,1.11,4.67
14/01/2000,5.5,283.95,1465.15,6.65,6.04,101.72,6.68,6.43,0.25,19.66,1653,95.21,86.25,219,2.32,8123.7,28.02,16.03,5.45,265,1195.4,0.3,1.11,4.67
15/01/2000,5.5,283.95,1465.15,6.65,6.04,101.72,6.68,6.43,0.25,19.66,1653,95.21,86.25,219,2.32,8123.7,28.02,16.03,5.45,265,1195.4,0.3,1.11,4.67
16/01/2000,5.5,283.95,1465.15,6.65,6.04,101.72,6.68,6.43,0.25,19.66,1653,95.21,86.25,219,2.32,8123.7,28.02,16.03,5.45,265,1195.4,0.3,1.11,4.67
17/01/2000,5.5,285.5,1465.15,6.64,6.04,101.77,6.68,6.43,0.25,19.66,1692.5,95.21,86.25,219,2.32,8135,28.02,16.03,5.45,265,1186,0.302,1.11,4.67
18/01/2000,5.5,287.65,1455.14,6.64,6.04,101.86,6.75,6.47,0.28,21.5,1723.25,96.45,86.6,220,2.38,8224,28.85,16.53,5.29,264.5,1186.25,0.235,1.11,4.67
19/01/2000,5.5,287.55,1455.9,6.65,6.04,101.76,6.73,6.45,0.28,21.72,1754.5,97.18,88.25,220.75,2.42,8353,29.54,16.34,5.49,266,1198.5,0.127,1.11,4.67
20/01/2000,5.5,289.3,1445.57,6.65,6.04,101.36,6.79,6.49,0.3,21.75,1747,97.65,87.3,220.75,2.56,8333,29.66,16.28,5.56,265,1186.5,0.364,1.11,4.67
21/01/2000,5.5,289.05,1441.36,6.65,6.04,101.81,6.77,6.46,0.31,20.82,1730.5,97.47,87.3,222.75,2.49,8468,28.2,16.18,5.43,264.25,1183,0.393,1.11,4.67
22/01/2000,5.5,289.05,1441.36,6.65,6.04,101.81,6.77,6.46,0.31,20.82,1730.5,97.47,87.3,222.75,2.49,8468,28.2,16.18,5.43,264.25,1183,0.393,1.11,4.67
23/01/2000,5.5,289.05,1441.36,6.65,6.04,101.81,6.77,6.46,0.31,20.82,1730.5,97.47,87.3,222.75,2.49,8468,28.2,16.18,5.43,264.25,1183,0.393,1.11,4.67
24/01/2000,5.5,286.85,1401.53,6.65,6.04,102.2,6.69,6.41,0.28,24.07,1715.25,97.05,85.65,227.25,2.53,8417,27.83,16.45,5.29,266,1169,0.132,1.11,4.67
25/01/2000,5.5,287.15,1410.03,6.63,6.04,102.41,6.69,6.43,0.26,23.02,1728,97.63,84.25,227.5,2.62,8420,28.28,16.48,5.32,264.75,1137,0.369,1.11,4.67
26/01/2000,5.5,285.2,1404.09,6.63,6.04,102.44,6.66,6.44,0.22,23.03,1730.5,96.85,84.15,223,2.52,8376,27.84,16.48,5.4,260,1128.5,0.34,1.11,4.67
27/01/2000,5.5,286.1,1398.56,6.64,6.04,103.17,6.69,6.51,0.18,23.54,1724,96.95,84.45,225.75,2.61,8483,27.32,17.11,5.41,263.5,1133.5,0.399,1.11,4.67
28/01/2000,5.5,283.05,1360.16,6.65,6.05,104.48,6.66,6.56,0.1,26.14,1724.25,96.51,83.5,223.5,2.53,8620,27.22,17.04,5.47,259.75,1131.25,0.24,1.11,4.67
29/01/2000,5.5,283.05,1360.16,6.65,6.05,104.48,6.66,6.56,0.1,26.14,1724.25,96.51,83.5,223.5,2.53,8620,27.22,17.04,5.47,259.75,1131.25,0.24,1.11,4.67
30/01/2000,5.5,283.05,1360.16,6.65,6.05,104.48,6.66,6.56,0.1,26.14,1724.25,96.51,83.5,223.5,2.53,8620,27.22,17.04,5.47,259.75,1131.25,0.24,1.11,4.67
31/01/2000,5.5,283.6,1394.46,6.75,6.08,105.13,6.67,6.59,0.08,24.95,1730.5,96.81,84.95,220,2.66,8739,27.64,16.58,5.42,256.25,1118.75,0.29,1.15,4.82
01/02/2000,5.5,282.75,1409.28,6.78,6.09,104.92,6.62,6.57,0.05,23.45,1740.5,97.55,84.3,222,2.7,8760,28.22,16.48,5.39,258,1104,0.325,1.15,4.82
02/02/2000,5.75,285.15,1409.12,6.79,6.1,104.79,6.57,6.59,-0.02,23.12,1714.25,96.79,82.25,220.75,2.76,8882,27.55,16.19,5.5,257.25,1086.95,0.201,1.15,4.82
03/02/2000,5.75,286.25,1424.97,6.81,6.1,103.8,6.49,6.52,-0.03,22.01,1722.5,97.13,82.6,218,2.66,8955,28.03,15.96,5.61,253.75,1101.75,0.152,1.15,4.82
04/02/2000,5.75,299.2,1424.37,6.78,6.09,104.29,6.55,6.62,-0.07,21.54,1716,98.97,82.75,219.75,2.74,9075,28.82,15.82,5.79,257,1089.25,0.3,1.15,4.82
