#{"t_start": 1686746772.4573576, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
223897.469411,7797,49.549064
259119.359665,7797,99.005102
310887.289641,7797,147.650144
308516.144271,7797,195.837109
309753.076351,7797,244.30144
292510.993382,7797,292.853935
271640.370851,7797,341.556301
259431.473763,7797,390.116194
270252.681887,7797,438.688239
287793.889993,7797,487.213033
286367.563932,7797,535.737818
158046.82643,7797,584.569803
215143.056866,7797,632.94309
238851.631721,7797,681.306767
268552.168681,7797,729.875993
232885.814329,7797,778.449759
216895.123705,7797,826.952353
214966.911607,7797,875.640484
233998.699077,7797,924.371262
322715.530465,7797,972.891126
332256.052077,7797,1021.27319
320866.539744,7797,1069.735412
295541.785025,7797,1118.121953
347630.928426,7797,1166.484905
335001.912277,7797,1214.725604
336118.771479,7797,1262.808783
358110.165317,7797,1311.124141
317448.99565,7797,1359.608742
306777.548116,7797,1408.002631
350956.978344,7797,1456.471363
326616.543968,7797,1504.902165
305508.243271,7797,1553.420738
288340.432189,7797,1601.995239
268528.081691,7797,1650.421863
260592.085108,7797,1698.860776
262904.107134,7797,1747.32313
263812.108295,7797,1795.770058
263710.125139,7797,1844.14349
261507.98541,7797,1892.514762
267188.137581,7797,1940.915868
267657.751309,7797,1989.284317
268443.910784,7797,2037.787647
275165.979683,7797,2086.236302
275562.096728,7797,2134.570766
269080.783142,7797,2182.878959
283290.298473,7797,2231.143665
279568.675838,7797,2279.453886
327490.587287,7797,2327.655723
316891.220641,7797,2375.972585
301665.709912,7797,2424.293946
287950.094773,7797,2472.608924
283826.149166,7797,2520.879924
287313.357675,7797,2569.108736
288239.448025,7797,2617.311492
285817.196889,7797,2665.567365
272978.395882,7797,2713.908973
272219.951687,7797,2762.240971
275560.781187,7797,2810.604013
274027.247045,7797,2858.838609
263903.736717,7797,2907.184391
291752.515251,7797,2955.263171
277163.745905,7797,3003.560212
281904.706404,7797,3051.874058
267054.059562,7797,3100.177259
265456.674226,7797,3148.553849
267631.162825,7797,3196.968004
266870.566303,7797,3245.389559
268658.263375,7797,3293.722862
265968.630419,7797,3342.039918
181601.222963,7797,3390.036792
195000.04338,7797,3438.257087
212440.607738,7797,3486.351212
285570.029533,7797,3534.382274
251508.876473,7797,3582.519727
247238.080165,7797,3630.77452
258597.488252,7797,3678.959431
272748.142415,7797,3727.094038
216678.243805,7797,3775.126992
110261.049309,7797,3822.231566
98989.608019,7797,3869.248002
244165.935317,7797,3917.285133
272824.855911,7797,3965.43941
293009.234233,7797,4013.74056
258920.807284,7797,4061.994109
278466.775354,7797,4110.081091
268822.612353,7797,4158.292289
155517.55,7797,4206.131231
193980.912801,7797,4253.598759
267798.325905,7797,4301.842174
101877.470126,7797,4348.987323
76995.567091,7797,4396.471481
78306.982742,7797,4444.105261
74671.865769,7797,4491.852176
190924.691227,7797,4540.030375
147594.901554,7797,4588.314607
146693.29508,7797,4636.362419
