Version,Periodo,feature,Media,Std
A2C_1M,2008-2009,train/value_loss,9929124.611221924,27672964.68038592
A2C_1M,2012-2014,train/value_loss,6951885.6916601565,20080261.327049512
A2C_1M,2018-2020,train/value_loss,6116465.98875,18342190.810514275
A2C_1M,2020-2022,train/value_loss,2649896.764038086,8261298.845772209

A2C_3M,2008-2009,train/value_loss,13948777.93522461,32147336.628602777
A2C_3M,2012-2014,train/value_loss,5862942.008886719,11324862.24149705
A2C_3M,2018-2020,train/value_loss,7471611.794423828,15066719.567151487
A2C_3M,2020-2022,train/value_loss,6572759.1021032715,13183487.232265837

A2C_LR_0.0005,2008-2009,train/value_loss,7294798.905151367,15212578.458939828
A2C_LR_0.0005,2012-2014,train/value_loss,8401500.751914062,27250161.00693948
A2C_LR_0.0005,2018-2020,train/value_loss,9076641.844084473,32319784.15762391
A2C_LR_0.0005,2020-2022,train/value_loss,6607692.866738281,31327936.44344297

A2C_LR_0.0010,2008-2009,train/value_loss,6212802.732607421,17340114.335593645
A2C_LR_0.0010,2012-2014,train/value_loss,12733332.338457031,36640413.33264017
A2C_LR_0.0010,2018-2020,train/value_loss,6555246.570631656,12063409.158659998
A2C_LR_0.0010,2020-2022,train/value_loss,4724036.296828614,17883972.881627098

A2C_1M,2008-2009,rollout/ep_rew_mean,183433.240625,2086.3280059973545
A2C_1M,2012-2014,rollout/ep_rew_mean,211258.720625,13.419585917330012
A2C_1M,2018-2020,rollout/ep_rew_mean,325958.2,433.85855438937324
A2C_1M,2020-2022,rollout/ep_rew_mean,287850.70875,1833.2591309665747

A2C_3M,2008-2009,rollout/ep_rew_mean,297236.935,0.9930771210572455
A2C_3M,2012-2014,rollout/ep_rew_mean,210677.791875,9.851916680361528
A2C_3M,2018-2020,rollout/ep_rew_mean,296584.26625,2.5530425276440623
A2C_3M,2020-2022,rollout/ep_rew_mean,177553.078125,0.0

A2C_LR_0.0005,2008-2009,rollout/ep_rew_mean,214739.391875,221.678946370356
A2C_LR_0.0005,2012-2014,rollout/ep_rew_mean,295568.69625,787.6288175901573
A2C_LR_0.0005,2018-2020,rollout/ep_rew_mean,179025.406875,701.9617561297182
A2C_LR_0.0005,2020-2022,rollout/ep_rew_mean,226352.5225,276.01506836108143

A2C_LR_0.0010,2008-2009,rollout/ep_rew_mean,264982.49875,848.78391678611
A2C_LR_0.0010,2012-2014,rollout/ep_rew_mean,239493.936875,812.9558612812763
A2C_LR_0.0010,2018-2020,rollout/ep_rew_mean,242123.528125,1561.1397226059194
A2C_LR_0.0010,2020-2022,rollout/ep_rew_mean,149973.289375,129.70896099783454


