#{"t_start": 1686930215.388123, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
49442.761554,7797,44.758983
63198.435712,7797,92.18042
55108.650281,7797,139.519715
87667.968551,7797,186.915815
102257.953909,7797,234.551762
132085.417684,7797,279.322004
161486.059635,7797,326.79097
152949.849131,7797,374.447721
157585.282578,7797,421.989419
116563.28456,7797,469.549704
140200.453961,7797,514.148166
140569.613764,7797,561.573738
156441.142404,7797,609.018529
176898.429274,7797,656.590608
184040.623954,7797,704.307425
231589.093563,7797,748.880604
225604.852769,7797,796.428661
252035.24772,7797,843.947252
240416.609438,7797,891.495924
246846.206306,7797,939.071608
246049.988652,7797,983.818596
250071.664879,7797,1031.509186
237204.584313,7797,1079.2796
248500.056251,7797,1126.989583
240573.09634,7797,1174.376122
234561.484814,7797,1219.08268
229218.878483,7797,1266.718253
213859.592868,7797,1314.201665
212324.668265,7797,1361.711028
212543.017917,7797,1409.205772
238057.753385,7797,1456.588843
242537.82167,7797,1501.188621
236633.198821,7797,1548.494292
243817.841114,7797,1595.865177
210209.015868,7797,1643.311964
233632.56675,7797,1690.763918
217265.901826,7797,1735.342124
218097.294049,7797,1783.052623
217833.085843,7797,1830.420216
220260.339882,7797,1877.88061
188795.753939,7797,1925.523263
211298.436738,7797,1970.029739
206524.101402,7797,2017.487805
211675.742226,7797,2064.927826
234738.851422,7797,2112.281709
240831.384881,7797,2159.734514
239314.977261,7797,2204.049486
236633.046667,7797,2251.197417
242790.443081,7797,2298.300256
227672.973451,7797,2345.428623
254477.498318,7797,2392.607369
263281.886865,7797,2436.999453
278816.816879,7797,2484.325272
255201.307524,7797,2531.658209
221150.495757,7797,2578.937822
238845.186243,7797,2626.225346
241660.152866,7797,2673.414758
254203.28807,7797,2717.900843
241641.129444,7797,2765.154886
245615.863969,7797,2812.500292
236597.502292,7797,2859.771504
270320.79002,7797,2907.389158
246357.461327,7797,2951.959424
239452.228963,7797,2999.213196
237914.381536,7797,3046.544805
252979.33616,7797,3093.88173
239623.325416,7797,3141.165891
210761.487747,7797,3185.587532
238704.556817,7797,3232.846705
228613.422674,7797,3280.430739
244194.981051,7797,3327.701102
235661.114902,7797,3374.869209
242349.978775,7797,3418.831324
250983.724888,7797,3466.219738
240539.09755,7797,3513.36986
224197.920813,7797,3560.531002
231026.225025,7797,3607.756924
229547.362217,7797,3652.155474
213859.942385,7797,3699.477535
222251.407417,7797,3746.783991
218657.390768,7797,3794.166272
211854.340064,7797,3841.484821
217586.711343,7797,3885.811457
232565.383635,7797,3933.063164
208665.029464,7797,3980.46837
232300.876592,7797,4027.723359
234071.88561,7797,4074.909211
233937.92378,7797,4122.200079
240658.603602,7797,4166.747139
235950.922237,7797,4214.020051
231082.022325,7797,4261.279081
239745.590414,7797,4308.595337
249878.644782,7797,4356.120648
246211.700395,7797,4400.643987
238962.094001,7797,4447.961633
250386.232364,7797,4495.36242
261086.067238,7797,4542.735036
261054.004122,7797,4590.020531
258780.224339,7797,4634.518779
244179.147921,7797,4682.053331
222005.48342,7797,4729.50258
217386.219515,7797,4776.719168
232368.502087,7797,4824.094643
212316.057249,7797,4868.669415
220768.106559,7797,4916.135573
217667.197743,7797,4963.48325
203826.098464,7797,5010.770223
214950.528654,7797,5058.226532
221298.415373,7797,5102.749233
220446.160248,7797,5150.254143
227643.553452,7797,5197.654303
235025.314366,7797,5245.036464
228791.443824,7797,5292.317486
220596.509178,7797,5339.762211
211398.200605,7797,5384.746458
219670.15125,7797,5432.219568
238415.843965,7797,5479.713222
227088.480546,7797,5527.377803
223374.840769,7797,5574.926711
230482.555613,7797,5619.72728
240706.469796,7797,5667.162245
237677.059186,7797,5714.657717
240097.937738,7797,5762.231002
237776.789396,7797,5809.702166
245805.75075,7797,5854.29455
242231.281741,7797,5901.684487
225356.273911,7797,5949.159999
224876.956002,7797,5996.581953
221161.672096,7797,6044.41016
218188.444379,7797,6089.063548
205577.806206,7797,6136.586648
211248.834706,7797,6184.182523
204097.133339,7797,6231.680207
233514.204044,7797,6279.315312
217990.727651,7797,6324.019054
206345.113816,7797,6371.53104
210642.459724,7797,6419.136927
200445.119796,7797,6466.700835
221698.511831,7797,6514.373429
210890.695424,7797,6559.209858
219828.953298,7797,6606.780814
210584.992936,7797,6654.501947
223360.991903,7797,6702.015596
218490.348147,7797,6749.451464
231066.041543,7797,6796.968826
218351.851487,7797,6841.520196
224015.853467,7797,6889.113997
205600.295613,7797,6936.576777
226839.846237,7797,6984.212427
219351.758237,7797,7031.735033
