Version,Periodo,feature,Media,Std
PPO_1M,2008-2009,train/value_loss,8893837.4871875,6559026.498508258
PPO_1M,2012-2014,train/value_loss,32768610.0325,39883742.23285569
PPO_1M,2018-2020,train/value_loss,23691232.965,16835770.651498016
PPO_1M,2020-2022,train/value_loss,18150819.451875,18775587.631512832

PPO_3M,2008-2009,train/value_loss,28038201.18125,31947980.250275105
PPO_3M,2012-2014,train/value_loss,14893152.96625,12350394.191546416
PPO_3M,2018-2020,train/value_loss,85357267.730625,112971163.17486803
PPO_3M,2020-2022,train/value_loss,18579684.7175,18805518.041525844

PPO_LR_0.0005,2008-2009,train/value_loss,28627419.5975,29614563.927233197
PPO_LR_0.0005,2012-2014,train/value_loss,14555095.169375,15096263.531235954
PPO_LR_0.0005,2018-2020,train/value_loss,12966482.9075,7099952.741720307
PPO_LR_0.0005,2020-2022,train/value_loss,13174573.25375,9768002.842555907

PPO_LR_0.0001,2008-2009,train/value_loss,22831909.325,14295470.250757707
PPO_LR_0.0001,2012-2014,train/value_loss,22558070.95,21385347.717830107
PPO_LR_0.0001,2018-2020,train/value_loss,8237566.26984375,7802740.2584754685
PPO_LR_0.0001,2020-2022,train/value_loss,16470596.64234375,18004929.019024085

PPO_1M,2008-2009,rollout/ep_rew_mean,59114.77390625,1297.65079375957
PPO_1M,2012-2014,rollout/ep_rew_mean,222324.3128125,5670.79827696857
PPO_1M,2018-2020,rollout/ep_rew_mean,216287.5084375,1457.1151934914053
PPO_1M,2020-2022,rollout/ep_rew_mean,173109.42875,1280.9937849265652

PPO_3M,2008-2009,rollout/ep_rew_mean,282037.83,3330.3538362031168
PPO_3M,2012-2014,rollout/ep_rew_mean,204740.8378125,2178.0119210444177
PPO_3M,2018-2020,rollout/ep_rew_mean,500464.36,1864.7834459776338
PPO_3M,2020-2022,rollout/ep_rew_mean,170366.7709375,227.48353193231944

PPO_LR_0.0005,2008-2009,rollout/ep_rew_mean,257937.37875,410.07850994996534
PPO_LR_0.0005,2012-2014,rollout/ep_rew_mean,112675.11625,1170.7958018626048
PPO_LR_0.0005,2018-2020,rollout/ep_rew_mean,125634.1078125,164.3912948127366
PPO_LR_0.0005,2020-2022,rollout/ep_rew_mean,100209.221875,150.73404628835246

PPO_LR_0.0001,2008-2009,rollout/ep_rew_mean,193721.179375,308.394435136509
PPO_LR_0.0001,2012-2014,rollout/ep_rew_mean,279410.741875,1045.4812690130907
PPO_LR_0.0001,2018-2020,rollout/ep_rew_mean,137916.9928125,6993.879965903862
PPO_LR_0.0001,2020-2022,rollout/ep_rew_mean,173327.1721875,540.2856921668905


