#{"t_start": 1684518120.9805593, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
190070.711755,7797,51.144574
188017.36526,7797,102.49702
133582.988812,7797,155.774766
193282.368915,7797,208.723871
207896.732123,7797,261.791628
214863.772351,7797,314.071571
224645.217853,7797,366.782201
225183.504599,7797,419.036339
229758.040571,7797,469.891554
221523.645893,7797,520.354966
208766.476941,7797,570.42753
230044.945433,7797,626.837721
225966.695923,7797,680.293298
212360.634601,7797,735.494461
215783.387386,7797,786.551903
215830.334542,7797,837.746351
216036.299021,7797,889.426371
214968.913513,7797,946.680939
215220.572789,7797,1002.882824
215630.416619,7797,1057.889801
215484.357251,7797,1110.858273
215284.543082,7797,1164.609278
215401.960401,7797,1216.635977
215406.882895,7797,1269.435571
215826.884198,7797,1321.193849
215613.008297,7797,1373.892479
216097.085333,7797,1425.87085
215586.600985,7797,1478.168736
215441.891172,7797,1527.833306
215530.256978,7797,1578.092504
215200.353983,7797,1629.62921
214995.550021,7797,1682.841381
215058.490764,7797,1734.20456
215111.678211,7797,1783.876839
215667.702238,7797,1835.47688
215213.012874,7797,1887.742915
214923.232237,7797,1940.000096
215400.981738,7797,1993.042648
215468.517915,7797,2045.920185
215643.855381,7797,2098.738493
215022.123403,7797,2151.520945
216191.714318,7797,2203.401856
215132.543604,7797,2253.074975
215449.832431,7797,2302.79989
214997.487733,7797,2352.519631
215624.664049,7797,2402.306156
215530.217979,7797,2453.221066
215727.470208,7797,2503.09491
215419.843696,7797,2552.919831
214922.495781,7797,2602.886773
215964.251897,7797,2654.785907
215432.752866,7797,2706.999417
215446.138049,7797,2758.426501
216164.78106,7797,2812.104137
215599.055701,7797,2863.85436
215551.350288,7797,2915.237725
215583.219011,7797,2966.270196
215663.281117,7797,3019.042195
215902.537759,7797,3072.093417
214947.107054,7797,3125.732106
216135.903486,7797,3179.620335
216445.185884,7797,3233.974957
215532.562821,7797,3287.170693
215491.122265,7797,3340.830024
215973.215692,7797,3395.062705
216270.891094,7797,3450.865897
215876.934657,7797,3506.564452
215232.208749,7797,3562.030438
215593.111737,7797,3615.121883
214992.414446,7797,3667.90423
215467.538414,7797,3724.498062
215309.385162,7797,3784.449579
215329.11181,7797,3839.238943
215477.141212,7797,3898.076392
215372.876095,7797,3959.149662
215182.305281,7797,4017.742781
215790.463037,7797,4077.438351
215727.02203,7797,4135.005757
215596.429019,7797,4199.963774
215222.62057,7797,4270.318606
215528.841839,7797,4325.522422
215681.856064,7797,4378.274173
215802.581298,7797,4431.823182
215847.500985,7797,4484.349496
214795.338541,7797,4536.739514
215670.350403,7797,4590.111246
215642.284039,7797,4647.621696
215754.903239,7797,4704.377077
215198.537956,7797,4759.518815
215932.603617,7797,4813.365744
215511.28667,7797,4868.743999
215354.402031,7797,4922.118566
215120.983234,7797,4974.677386
215713.965429,7797,5028.036176
215344.056871,7797,5080.913801
215031.11315,7797,5131.058553
215994.684132,7797,5181.157362
215481.477348,7797,5231.249529
215597.037909,7797,5281.319042
216263.712578,7797,5331.538974
215109.891351,7797,5382.272746
215536.281813,7797,5432.385913
215544.306438,7797,5482.769318
215475.512993,7797,5532.802672
215643.746468,7797,5582.917294
215090.667557,7797,5633.050663
215588.527404,7797,5683.500445
215576.504154,7797,5733.591612
214952.947504,7797,5783.587118
215630.037067,7797,5833.417549
215534.167973,7797,5883.262897
215094.812758,7797,5933.050896
215540.671038,7797,5982.830348
215073.36626,7797,6032.698861
215417.871183,7797,6082.516696
215655.187739,7797,6132.474559
215873.543316,7797,6182.354431
215127.093432,7797,6232.184564
215367.11653,7797,6282.005352
215240.284128,7797,6331.811193
215191.67285,7797,6381.675395
215135.976586,7797,6431.494327
215780.013337,7797,6481.204575
216079.144687,7797,6530.997468
215624.804677,7797,6580.914065
215324.013643,7797,6630.796775
216385.832602,7797,6680.645317
215535.47416,7797,6730.409913
215110.683821,7797,6780.187347
215514.696681,7797,6829.934687
215277.632803,7797,6879.698668
215590.723061,7797,19561.611505
215889.520986,7797,19613.687891
215565.771817,7797,19665.826559
215410.446653,7797,19718.117424
215500.904823,7797,19768.668508
215165.024227,7797,19819.61552
215577.365392,7797,19871.130871
215529.942179,7797,19921.83294
215492.756775,7797,19972.384433
214884.754915,7797,20022.824806
216047.644984,7797,20073.454129
215642.267991,7797,20124.165072
215346.065029,7797,20174.877002
215552.665713,7797,20225.366154
215848.56782,7797,20275.786987
215775.889997,7797,20326.053205
216107.227116,7797,20376.441916
215884.352968,7797,20426.903057
216360.437227,7797,20477.498752
214869.165587,7797,20528.204173
215301.984389,7797,20580.818947
214900.691841,7797,20632.785115
215852.685656,7797,20685.04793
215612.023518,7797,20736.300009
214958.990021,7797,20787.764018
215972.443211,7797,20839.109644
215181.121163,7797,20890.430675
215432.895522,7797,20941.669942
216039.508859,7797,20992.869613
215373.400368,7797,21044.573867
215803.159225,7797,21096.664071
215371.266015,7797,21148.965147
215550.22862,7797,21200.736687
216173.737093,7797,21252.532793
215099.964097,7797,21304.330747
215400.81456,7797,21356.741866
215462.962168,7797,21408.888594
215539.630296,7797,21461.057014
216020.466017,7797,21512.473542
214911.609671,7797,21564.052699
215789.453305,7797,21615.106227
215530.045689,7797,21666.984286
215834.130463,7797,21718.374857
215524.123356,7797,21769.468932
215573.984586,7797,21822.019321
214896.885968,7797,21873.168431
215170.064804,7797,21927.570968
215569.735826,7797,21978.959998
215273.177893,7797,22030.306786
215903.987198,7797,22081.533298
215494.100715,7797,22132.970695
215595.609826,7797,22183.983145
215595.183398,7797,22236.052988
215277.27764,7797,22287.137218
215463.075321,7797,22338.744137
215391.658917,7797,22390.291864
215487.274863,7797,22441.939141
214685.571244,7797,22492.475651
215697.28348,7797,22543.32649
215481.760946,7797,22599.937691
215312.038754,7797,22651.584817
215736.394057,7797,22704.089556
215922.578494,7797,22756.566465
214697.968621,7797,22809.068987
215512.578968,7797,22861.920421
215216.051328,7797,22913.593436
215725.499116,7797,22964.585042
215200.255699,7797,23015.685147
215210.101783,7797,23066.811943
215223.953361,7797,23118.057663
215498.930674,7797,23169.808129
215043.917721,7797,23220.915507
215505.128738,7797,23271.982038
215408.817556,7797,23323.313511
214957.007081,7797,23374.609051
215213.034531,7797,23426.039571
215405.290774,7797,23477.305357
215465.194194,7797,23528.639013
215309.693965,7797,23580.273993
216062.994944,7797,23631.61534
215423.79241,7797,23683.063346
215715.4984,7797,23734.718505
215710.208785,7797,23785.927794
215584.23333,7797,23838.091993
215367.877155,7797,23889.972408
215233.332625,7797,23941.554413
215419.020118,7797,23992.950471
215880.634248,7797,24044.697511
215434.543365,7797,24096.40022
215305.369703,7797,24147.956832
215375.210696,7797,24199.410568
215540.292497,7797,24251.033229
215490.363873,7797,24302.670603
