#{"t_start": 1684608732.1879709, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
189316.380937,7797,86.279188
191626.735516,7797,173.791277
185870.118688,7797,253.956385
188252.409323,7797,338.93828
191244.800903,7797,422.57128
179476.761856,7797,505.821666
195029.148332,7797,596.494089
171450.76117,7797,676.008617
153727.566586,7797,752.494022
155583.55963,7797,831.923394
148318.396756,7797,913.329919
145281.004346,7797,993.048198
153907.652724,7797,1070.124484
156974.848788,7797,1145.380095
152067.742532,7797,1229.60185
151290.004775,7797,1308.982268
150709.49857,7797,1391.873421
143713.625477,7797,1473.410692
143470.07047,7797,1551.776188
143774.990561,7797,1631.191881
143394.774886,7797,1706.680988
144253.725361,7797,1795.311831
144168.716597,7797,1881.457245
144006.149586,7797,1962.497478
143977.377721,7797,2045.955245
143512.709753,7797,2123.581837
143386.573121,7797,2199.227976
143268.77471,7797,2282.758399
143246.627081,7797,2364.451059
143161.948944,7797,2447.245811
143918.893401,7797,2523.270334
143823.627629,7797,2600.876759
143892.771608,7797,2693.846526
143281.807456,7797,2798.391391
143317.73096,7797,2887.130953
143044.44475,7797,2967.365575
143908.019933,7797,3047.88414
143767.918905,7797,3123.881989
143832.132097,7797,3201.817766
143463.248064,7797,3286.218602
143793.90457,7797,3369.50687
143626.58051,7797,3447.373927
143518.161257,7797,3527.219261
143376.327355,7797,3614.882339
143389.329363,7797,3692.242011
143435.028657,7797,3769.292303
143365.673826,7797,3851.997139
143510.685332,7797,3933.344915
143960.727254,7797,4017.580531
143704.643438,7797,4097.316153
143306.538412,7797,4179.764986
143668.133033,7797,4269.113819
143373.225674,7797,4350.785497
142856.685524,7797,4430.533397
143627.994812,7797,4506.347782
143489.331413,7797,4589.161443
143025.635011,7797,4669.268764
143281.0209,7797,4753.614523
143306.438199,7797,4838.749236
143683.191467,7797,4925.776467
143556.57946,7797,5011.191069
143438.800869,7797,5095.890666
143104.259491,7797,5175.42583
143342.068749,7797,5257.262811
143860.286789,7797,5341.228061
143618.782384,7797,5427.670322
143290.086785,7797,5506.784935
143850.064449,7797,5592.927489
143851.426742,7797,5680.716026
143654.665153,7797,5761.924531
142890.765429,7797,5842.640469
144026.612093,7797,5928.863327
143341.219036,7797,6024.812695
143144.457585,7797,6109.137107
143343.227618,7797,6191.159317
143854.375025,7797,6277.786962
143805.970981,7797,6360.926543
143415.695568,7797,6444.443707
143610.323895,7797,6531.985562
143852.843896,7797,6617.164074
143968.85391,7797,6697.631636
143582.38217,7797,6783.49892
143688.331079,7797,6869.256637
143747.131401,7797,6953.614206
143399.032174,7797,7030.871102
143496.867808,7797,7110.356854
143676.732317,7797,7188.765004
143196.590459,7797,7265.569433
143634.008105,7797,7340.761587
143270.208041,7797,7421.81519
143327.811709,7797,7499.988695
143727.233487,7797,7576.002858
143683.354667,7797,7655.753744
143009.692254,7797,7732.857424
143919.855414,7797,7815.554303
143788.566482,7797,7896.43362
143468.617785,7797,7975.389156
143688.39299,7797,8053.174513
143493.822444,7797,8134.283513
143412.464019,7797,8213.218714
143560.208621,7797,8295.084457
144023.778936,7797,8377.402409
143590.482423,7797,8460.631864
143078.133306,7797,8538.309119
143106.933171,7797,8622.029037
143571.07284,7797,8704.556558
142838.608362,7797,8785.236869
143309.357583,7797,8864.450089
143252.694033,7797,8941.91455
143236.927992,7797,9027.006898
143665.446802,7797,9107.453859
143144.178109,7797,9188.749029
143292.509889,7797,9257.692646
143555.286078,7797,9319.993863
143542.786611,7797,9381.821456
144086.551587,7797,9443.69828
144067.479042,7797,9505.800792
143459.502695,7797,9568.773617
143624.398281,7797,9632.949939
144133.884226,7797,9693.17887
143651.458104,7797,9753.412217
143382.090962,7797,9814.668674
143805.113377,7797,9875.526761
143761.476289,7797,9936.309205
144070.683049,7797,9997.178446
143946.408932,7797,10057.88997
143325.767851,7797,10119.206621
143454.450121,7797,10184.715598
143366.750849,7797,10246.00099
143336.38359,7797,10307.23268
143075.363628,7797,10368.79372
143850.287523,7797,10429.602235
143558.052446,7797,10489.32623
143620.851782,7797,10549.527
143635.605453,7797,10609.802042
143294.046061,7797,10672.674143
143308.465647,7797,10732.804566
143777.10387,7797,10796.62728
143468.031798,7797,10857.097841
144228.349584,7797,10918.053258
143418.374409,7797,10978.072879
143477.1252,7797,11038.972834
143721.819179,7797,11098.856278
143704.356181,7797,11159.920861
143362.30252,7797,11220.521715
143698.512881,7797,11281.220368
143707.737035,7797,11341.29331
143356.559489,7797,11404.977027
143039.106115,7797,11466.039062
143711.113253,7797,11526.946281
143397.685619,7797,11587.416713
143585.6094,7797,11647.807879
143376.154625,7797,11707.728956
143442.479634,7797,11768.230471
143196.975784,7797,11828.357392
143526.043965,7797,11889.081868
143516.23578,7797,11949.543278
143538.541534,7797,12014.745223
143309.264465,7797,12074.944467
