#{"t_start": 1684837344.3579073, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
175159.233753,7797,51.177966
117541.141244,7797,101.413355
337448.173115,7797,151.656886
318890.844983,7797,202.237282
371329.088176,7797,252.082918
365002.381245,7797,301.470285
444682.750444,7797,350.849524
486005.378692,7797,399.843208
357947.088277,7797,448.628568
433564.091327,7797,496.970479
448079.2484,7797,545.242738
439569.873305,7797,593.603166
423534.844176,7797,641.904966
426494.105799,7797,690.244771
387930.152974,7797,738.629473
393991.17031,7797,787.070615
390327.18607,7797,835.483002
227883.757874,7797,883.46863
408928.128146,7797,932.002073
399578.942901,7797,980.287357
425458.310931,7797,1028.683491
423217.28086,7797,1077.031576
408978.033093,7797,1125.424016
398678.376472,7797,1173.849528
398063.585307,7797,1222.486226
283955.039944,7797,1270.779107
188266.011464,7797,1319.114548
276769.101402,7797,1367.729689
413206.832729,7797,1416.346185
389922.464297,7797,1464.726474
400653.380559,7797,1513.214696
388263.025415,7797,1561.580775
409278.620687,7797,1609.975569
425464.375342,7797,1658.38846
427560.751809,7797,1706.836526
413399.932878,7797,1755.247598
429081.379467,7797,1804.053399
425649.824577,7797,1852.614573
408748.89116,7797,1901.098879
401458.082243,7797,1949.529723
403905.552507,7797,1998.003687
408962.646172,7797,2046.492533
395185.384077,7797,2095.124228
411641.875464,7797,2143.711142
411775.120889,7797,2192.382839
427106.114486,7797,2240.861795
433096.923206,7797,2289.424176
446824.668715,7797,2338.003458
444401.44429,7797,2386.534116
449708.560382,7797,2435.067866
440974.777414,7797,2483.622796
440598.27589,7797,2532.171534
448518.983467,7797,2580.843985
450938.849752,7797,2629.367872
420517.302935,7797,2677.936553
437404.567026,7797,2726.549041
451831.958568,7797,2775.044767
449666.074624,7797,2823.597272
447275.6848,7797,2872.054446
438744.790972,7797,2920.520734
440209.724313,7797,2968.971101
440736.414099,7797,3017.537739
426595.181954,7797,3066.704179
416145.239882,7797,3115.174845
406394.857971,7797,3163.752509
405345.36624,7797,3212.342243
402204.394394,7797,3260.965372
399538.997336,7797,3309.574448
409323.280836,7797,3358.001675
419520.629202,7797,3406.61436
408517.274184,7797,3455.141498
356749.114566,7797,3503.741323
361694.132068,7797,3552.079275
276304.444681,7797,3600.563036
352703.020877,7797,3649.106725
192058.316811,7797,3697.735125
208360.274446,7797,3746.200505
157419.753807,7797,3794.742245
77558.432824,7797,3842.81862
78190.08261,7797,3890.993006
78386.265469,7797,3939.185265
77902.444535,7797,3987.181331
76396.523402,7797,4034.833925
77744.425897,7797,4082.874457
76343.913438,7797,4130.378924
76343.303255,7797,4177.988461
76407.308974,7797,4225.664818
76338.877259,7797,4273.356087
76326.420578,7797,4321.065545
76325.642985,7797,4368.853165
76359.231075,7797,4416.594776
76354.103404,7797,4464.645256
76352.566091,7797,4512.580691
76353.878499,7797,4560.421011
76364.526997,7797,4608.27655
76344.657611,7797,4656.09524
76339.302471,7797,4703.957093
76371.811425,7797,4751.833753
76409.768768,7797,4799.783311
76325.599321,7797,4847.698574
76359.182251,7797,4895.512824
76354.232047,7797,4943.353495
76435.188833,7797,4991.354725
76354.053099,7797,5039.255838
76344.713966,7797,5087.171713
76343.342079,7797,5135.175774
76339.401352,7797,5183.036383
76364.123704,7797,5230.943693
76327.090466,7797,5278.915807
76325.255721,7797,5326.876913
76353.770672,7797,5374.797483
76354.371139,7797,5422.755209
76353.855628,7797,5470.567366
76271.678187,7797,5518.434348
76337.826112,7797,5566.312023
76425.931655,7797,5614.175276
76422.190197,7797,5662.010167
76364.687627,7797,5709.95517
76244.541494,7797,5757.762833
80816.88152,7797,5805.694141
76827.072763,7797,5853.548767
76354.767002,7797,5901.25421
76197.737145,7797,5949.032606
77102.733554,7797,5996.923081
76303.864782,7797,6044.648281
76260.990729,7797,6092.413466
76339.729235,7797,6140.270256
76364.019396,7797,6188.011019
