Fichero,date,l_total_reward,mean_reward,std_reward,last portfolio
A2C_2008-2009_lr_0.0005_pickle.pickle,23-May_01_37_44,"[2161.113745835697, 2076.8761793425656, 2194.87406327395, 2337.189842917898, 2242.1974151645845, 2179.3620294248394, 2224.8548334934167, 2424.1077776576567, 2376.9706800821004, 2495.022099027701]",2271.256866622041,124.95951374327728,"[[0, 611, 0, 155, 645, 2, 0, 2, 228, 1], [0, 612, 0, 121, 592, 5, 0, 1, 209, 0], [0, 623, 0, 114, 613, 0, 0, 0, 222, 0], [0, 609, 0, 127, 651, 1, 0, 1, 237, 0], [0, 647, 0, 125, 600, 0, 0, 1, 205, 0], [0, 603, 0, 128, 619, 0, 0, 6, 188, 2], [0, 630, 0, 123, 608, 3, 0, 2, 221, 0], [0, 611, 0, 120, 617, 0, 0, 0, 243, 0], [0, 609, 1, 128, 633, 2, 0, 5, 227, 0], [0, 636, 0, 111, 612, 4, 0, 0, 211, 0]]"
A2C_2008-2009_lr_0.0010_pickle.pickle,23-May_03_24_18,"[135.27902813750552, 282.1399793153396, 224.0577940002695, 44.85938054812141, 122.8878167810908, 200.93304274001275, 67.14103560319927, 192.8617299592588, 178.89463261692435, 485.44635206874227]",193.45007917704643,118.62918281771387,"[[0, 0, 0, 6, 217, 534, 0, 2, 320, 708], [3, 0, 1, 2, 191, 489, 0, 3, 361, 709], [1, 0, 2, 6, 200, 516, 0, 1, 369, 696], [1, 0, 0, 5, 202, 528, 0, 1, 336, 711], [0, 0, 0, 4, 169, 497, 0, 1, 349, 702], [1, 0, 0, 3, 208, 516, 0, 0, 322, 701], [0, 0, 0, 2, 188, 529, 0, 0, 350, 703], [3, 0, 0, 4, 199, 505, 0, 0, 343, 712], [1, 0, 4, 4, 183, 539, 0, 2, 391, 708], [1, 0, 1, 3, 225, 505, 0, 0, 342, 693]]"
A2C_2020-2022_lr_0.0005_pickle.pickle,23-May_05_11_02,"[28813.7908085752, 29654.687218451814, 28302.680102643557, 29687.594952630054, 29367.38746027369, 30657.68419150682, 30368.73769901361, 29522.31699253428, 28471.65225431486, 29055.215243506536]",29390.174692345045,721.8944927935422,"[[311, 0, 3, 0, 0, 357, 1, 0, 0, 362], [308, 0, 0, 0, 0, 356, 0, 0, 0, 388], [294, 1, 0, 0, 0, 374, 0, 0, 0, 382], [292, 0, 9, 0, 0, 375, 3, 0, 0, 397], [298, 1, 4, 0, 0, 369, 1, 0, 0, 389], [293, 0, 3, 0, 0, 397, 0, 0, 0, 381], [298, 0, 3, 0, 0, 386, 0, 0, 0, 381], [302, 0, 0, 0, 0, 364, 1, 0, 0, 391], [301, 0, 3, 0, 0, 361, 0, 0, 0, 382], [302, 0, 1, 0, 0, 368, 0, 0, 0, 379]]"
A2C_2020-2022_lr_0.0010_pickle.pickle,23-May_06_59_08,"[32307.793476821855, 32309.285296657472, 32287.289571588975, 32298.42916258899, 32313.134891890368, 32292.90565924652, 32298.060125849268, 32328.77743406844, 32301.593715328723, 32308.34825312326]",32304.56175871638,11.089965046967498,"[[0, 378, 378, 380, 0, 379, 0, 0, 0, 377], [0, 379, 378, 379, 0, 378, 0, 0, 0, 378], [0, 379, 376, 385, 0, 378, 0, 0, 0, 375], [0, 379, 378, 379, 0, 378, 0, 0, 0, 378], [0, 378, 380, 380, 0, 376, 0, 0, 0, 380], [0, 379, 375, 383, 0, 378, 0, 0, 0, 378], [0, 377, 379, 384, 0, 377, 0, 0, 0, 378], [0, 379, 382, 378, 0, 377, 0, 0, 0, 377], [0, 380, 376, 381, 0, 377, 0, 0, 0, 379], [0, 376, 379, 383, 0, 379, 0, 0, 0, 377]]"
A2C_2012-2014_lr_0.0005_pickle.pickle,23-May_08_47_01,"[16511.03416845217, 16500.554492013835, 16488.75396604123, 16494.06663458915, 16541.32325871245, 16487.00481649328, 16474.111678794638, 16509.14871910971, 16476.696119178203, 16524.83651257545]",16500.753036596012,20.170229939225518,"[[0, 635, 599, 0, 0, 0, 121, 8, 657, 224], [0, 650, 599, 0, 0, 0, 122, 5, 643, 223], [0, 640, 597, 0, 0, 0, 122, 11, 655, 218], [0, 639, 598, 0, 0, 0, 123, 12, 647, 221], [0, 641, 598, 0, 0, 0, 126, 6, 656, 218], [0, 637, 598, 0, 0, 0, 120, 9, 658, 221], [0, 646, 597, 0, 0, 0, 121, 10, 641, 227], [0, 631, 599, 0, 0, 0, 122, 4, 660, 231], [0, 642, 597, 0, 0, 0, 122, 15, 645, 218], [0, 638, 598, 0, 0, 0, 124, 9, 650, 224]]"
A2C_2012-2014_lr_0.0010_pickle.pickle,23-May_10_33_59,"[27280.416940096096, 27068.093258602923, 27029.713126822026, 27052.330128287824, 27076.66809220561, 27210.420361383658, 27172.629524082353, 27193.460169150858, 27068.147091753563, 27313.859895479647]",27146.573858786454,96.22228337640101,"[[697, 266, 0, 705, 589, 0, 0, 0, 701, 0], [699, 241, 0, 706, 599, 0, 0, 0, 705, 0], [702, 233, 0, 706, 600, 0, 0, 0, 706, 0], [701, 252, 0, 707, 587, 0, 0, 0, 706, 0], [703, 250, 0, 708, 586, 0, 0, 0, 706, 0], [699, 266, 0, 703, 584, 0, 0, 0, 704, 0], [698, 260, 0, 704, 590, 0, 0, 0, 702, 0], [700, 257, 0, 703, 590, 0, 0, 0, 703, 0], [703, 241, 0, 708, 593, 0, 0, 0, 706, 0], [699, 277, 0, 701, 580, 0, 0, 0, 701, 0]]"
A2C_2018-2020_lr_0.0005_pickle.pickle,23-May_12_22_24,"[9600.733369027555, 9507.149186849478, 9597.354311507006, 9543.992336370022, 9647.215280301534, 9534.53771891797, 9637.940880438531, 9450.474509370048, 9525.024439315224, 9601.105379328932]",9564.55274114263,59.27488510252205,"[[0, 0, 334, 342, 284, 0, 0, 291, 21, 332], [0, 0, 337, 346, 283, 0, 0, 292, 16, 333], [0, 0, 334, 342, 285, 0, 0, 288, 20, 335], [0, 0, 334, 347, 284, 0, 0, 290, 15, 339], [0, 0, 331, 347, 284, 0, 0, 289, 21, 336], [0, 0, 337, 342, 284, 0, 0, 287, 19, 337], [0, 0, 330, 340, 285, 0, 0, 295, 21, 330], [0, 0, 337, 341, 286, 0, 0, 291, 12, 337], [0, 0, 336, 346, 283, 0, 0, 291, 16, 336], [0, 0, 332, 347, 283, 0, 0, 292, 18, 336]]"
A2C_2018-2020_lr_0.0010_pickle.pickle,23-May_14_06_06,"[6490.492898630386, 6493.177152329023, 6487.732606520774, 6490.492898630386, 6493.177152329023, 6487.732606520774, 6490.492898630386, 6493.177152329023, 6487.732606520774, 6490.492898630386]",6490.470087107094,2.108745781054133,"[[0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0], [0, 0, 0, 0, 0, 0, 0, 730, 0, 0]]"
A2C_2008-2009-09-Jun_v1_pickle.pickle,09-Jun_12_42_08,"[-282.87223287665984, -282.04612969858863, -283.70861232870084, -282.87223287665984, -282.04612969858863, -283.70861232870084, -282.87223287665984, -282.04612969858863, -283.70861232870084, -282.87223287665984]",-282.8753157588508,0.6438816742400136,"[[0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0], [0, 0, 0, 0, 0, 730, 0, 0, 0, 0]]"
A2C_2020-2022-09-Jun_v1_pickle.pickle,09-Jun_12_43_28,"[36038.22862580829, 36182.69652683564, 36019.94140176714, 35902.40078135615, 35928.586922465794, 36125.78472058906, 35784.91771593146, 36178.91963943836, 36055.90224098624, 35853.177484986314]",36007.05560601644,129.66921813076118,"[[0, 499, 0, 622, 393, 0, 0, 7, 0, 245], [0, 509, 0, 608, 408, 0, 0, 12, 0, 206], [1, 503, 0, 633, 393, 0, 0, 1, 0, 241], [0, 513, 0, 638, 398, 0, 0, 2, 0, 217], [0, 507, 0, 625, 392, 0, 0, 5, 0, 238], [3, 507, 0, 611, 392, 0, 0, 9, 0, 232], [0, 513, 0, 624, 392, 0, 0, 2, 0, 235], [1, 553, 0, 615, 401, 0, 0, 1, 0, 183], [0, 512, 0, 613, 402, 0, 0, 0, 0, 227], [0, 511, 0, 617, 397, 0, 0, 1, 0, 234]]"
