Fichero,date,l_total_reward,mean_reward,std_reward,last portfolio
DQN_2008-2009_dqn_v2_400-09-Jun.pickle,09-Jun_00_21_46,"[-2179.607936520508, -2177.4119142054697, -2181.865861780767, -2179.607936520508, -2177.4119142054697, -2181.865861780767, -2179.607936520508, -2177.4119142054697, -2181.865861780767, -2179.607936520508]",-2179.626507404074,1.7250731199001397,"[424, 0, 0, 730, 0, 0, 0, 730, 0, 0]"
DQN_2020-2022_dqn_v2_400-09-Jun.pickle,09-Jun_00_22_06,"[52732.84309269849, 52833.22566687656, 52715.978737671045, 52746.787455493, 52756.57767919163, 52685.18421387655, 52712.99936764367, 52752.88207519162, 52732.56164849299, 52763.00924564368]",52743.20491827793,37.445891889226225,"[301, 338, 0, 0, 0, 11, 0, 0, 342, 31]"
DQN_2012-2014_dqn_v2_400-09-Jun.pickle,09-Jun_00_22_23,"[28773.938937246494, 28778.367724219075, 28767.206476342355, 28775.667840068403, 28776.519240657435, 28768.86618115056, 28774.24705953416, 28777.476144575237, 28767.516183534128, 28771.59882308211]",28773.14046104099,3.9150880069098757,"[631, 334, 0, 630, 0, 630, 634, 0, 0, 0]"
DQN_2018-2020_dqn_v2_400-09-Jun.pickle,09-Jun_00_22_41,"[4232.016674561761, 4224.151703959025, 4214.097008917946, 4226.236664150812, 4223.742736411106, 4215.864344917951, 4215.48493973985, 4206.488791890544, 4193.389987123417, 4217.8066890549235]",4216.927954072734,10.43051947730007,"[0, 0, 676, 489, 283, 0, 0, 0, 28, 267]"
DQN_2008-2009_dqn_v3-10-Jun_20_55_29.pickle,10-Jun_20_55_51,"[821.094136890315, 818.832707876616, 820.8955812738568, 811.504799767019, 819.9123255204468, 802.9729752875428, 820.634131219078, 815.7931755478494, 812.9391411231627, 816.1649388355145]",816.07439133414,5.422327353074635,"[550, 0, 0, 150, 600, 300, 0, 594, 429, 599]"
DQN_2020-2022_dqn_v3-10-Jun_23_33_01.pickle,10-Jun_23_33_22,"[54834.726966465765, 54806.63061123286, 54787.332961246546, 54796.01831669864, 54842.07096893151, 54749.964072753384, 54762.43229717808, 54802.632071260276, 54756.531350904086, 54815.95062552055]",54795.429024219164,30.088308572368895,"[243, 0, 0, 310, 0, 77, 90, 0, 306, 305]"
DQN_2012-2014_dqn_v3-11-Jun_02_11_10.pickle,11-Jun_02_11_30,"[22687.03170627376, 22691.640916588818, 22682.27965921897, 22687.031706273774, 22691.640916588833, 22682.27965921897, 22687.03170627376, 22691.640916588833, 22682.27965921897, 22687.03170627376]",22686.988855251846,3.6257682043618207,"[0, 0, 0, 247, 730, 730, 730, 0, 0, 0]"
DQN_2018-2020_dqn_v3-11-Jun_04_50_44.pickle,11-Jun_04_51_03,"[14194.165372315067, 14206.388449438382, 14192.765958397285, 14190.765620780818, 14207.6884373973, 14199.64014591783, 14192.175620780821, 14194.09492319182, 14190.4778132192, 14194.89570584931]",14196.305804728783,5.899557302180611,"[457, 0, 0, 0, 0, 0, 457, 0, 0, 459]"
DQN_2020-2022_dqn_v1-13-Jun_01_24_07.pickle,13-Jun_01_24_24,"[28611.1596192054, 28610.007560109516, 28604.713459684863, 28608.998219027315, 28618.85438380814, 28605.50975779444, 28608.15771046566, 28617.565416794445, 28604.222906164316, 28618.133199575255]",28610.732223262934,5.325880552691963,"[0, 442, 484, 0, 0, 0, 0, 543, 0, 60]"
DQN_2012-2014_dqn_v1-13-Jun_04_03_04.pickle,13-Jun_04_03_21,"[4556.767580671381, 4558.324879602937, 4555.17195645225, 4556.767580671381, 4558.324879602937, 4555.17195645225, 4556.767580671381, 4558.324879602937, 4555.17195645225, 4556.767580671381]",4556.756083085109,1.221157970444588,"[2, 0, 102, 0, 0, 0, 0, 0, 684, 148]"
DQN_2018-2020_dqn_v1-13-Jun_06_40_09.pickle,13-Jun_06_40_27,"[4045.100106301179, 4060.4801534107974, 4028.2319036573317, 4035.7599084655812, 4036.7017943149112, 4050.7000684518716, 4037.557981561462, 4040.993803328616, 4039.2979821642075, 4057.116632849138]",4043.19403345051,9.621270252902859,"[0, 482, 479, 486, 0, 0, 185, 0, 0, 298]"
DQN_2008-2009_dqn_v1-14-Jun_23_32_02.pickle,14-Jun_23_32_17,"[608.074064849352, 611.788217602807, 604.2985279041895, 608.074064849352, 611.788217602807, 604.2985279041895, 608.074064849352, 611.788217602807, 604.2985279042041, 608.074064849352]",608.0556495918412,2.900783316341465,"[730, 728, 730, 46, 3, 300, 0, 0, 0, 0]"
