Fichero,date,l_total_reward,mean_reward,std_reward,last portfolio
LSTM_2008-2009_lstm_v1_14-Jun_00_04_16.pickle,14-Jun_00_04_48,"[-1291.9978159039165, -1288.1394928080554, -1295.9373510135192, -1291.9978159039165, -1288.1394928080554, -1295.9373510135192, -1291.9978159039165, -1288.1394928080554, -1295.9373510135192, -1291.9978159039165]",-1292.02218,3.020163011,"[0, 30, 0, 0, 0, 0, 730, 724, 630, 730]"
LSTM_2008-2009_lstm_v2_14-Jun_00_37_56.pickle,14-Jun_00_38_07,"[928.5277466709958, 930.7929968353565, 923.5298226435843, 928.4577465887996, 931.9826359312428, 922.3116777531686, 928.4778548764734, 933.5828776572889, 921.4316737668705, 928.5277466709813]",927.7622779,3.882562824,"[0, 80, 695, 0, 696, 0, 0, 0, 698, 695]"
LSTM_2008-2009_lstm_v3_14-Jun_00_37_52.pickle,14-Jun_00_38_02,"[319.048152219184, 328.8719553561823, 307.5216274794657, 327.0777112191863, 301.4506922603032, 312.980113671234, 321.01791563013103, 316.74422947948915, 296.70894534247054, 308.31216391781345]",313.9733507,10.03138532,"[538, 0, 537, 0, 538, 0, 0, 536, 538, 0]"
LSTM_2008-2009_lstm_v4_17-Jun_17_03_41.pickle,17-Jun_17_03_45,"[3015.294835561828, 3019.1096461234556, 3011.3905476165965, 3015.2948355618137, 3019.1096461234556, 3011.390547616611, 3015.294835561828, 3019.1096461234556, 3011.390547616611, 3015.294835561828]"," 3,015.27 ",2.989674336,"[730, 0, 0, 0, 0, 0, 0, 730, 730, 730]"
LSTM_2012-2014_lstm_v1_14-Jun_00_14_23.pickle,14-Jun_00_14_36,"[19560.921162945233, 19565.562449137025, 19556.164701986316, 19560.921162945233, 19565.562449137025, 19556.164701986316, 19560.921162945233, 19565.562449137025, 19556.164701986316, 19560.921162945233]",19560.88661,3.639841156,"[730, 0, 0, 0, 730, 0, 0, 0, 0, 730]"
LSTM_2012-2014_lstm_v2_14-Jun_00_40_20.pickle,14-Jun_00_40_28,"[18069.32521075345, 18073.718761835597, 18064.81301764387, 18069.325210753435, 18073.718761835597, 18064.813017643857, 18069.32521075345, 18073.71876183561, 18064.81301764387, 18069.325210753435]",18069.28962,3.44930232,"[0, 730, 0, 730, 730, 0, 0, 0, 730, 0]"
LSTM_2012-2014_lstm_v3_14-Jun_00_40_19.pickle,14-Jun_00_40_27,"[21719.268297753675, 21775.17770767148, 21734.439746794757, 21738.12282435641, 21696.82373360297, 21727.810254520795, 21747.450946233104, 21718.533377096144, 21705.809019863256, 21731.28355463037]",21729.47195,20.89839123,"[390, 393, 389, 392, 0, 0, 0, 388, 393, 0]"
LSTM_2012-2014_lstm_v4_18-Jun_06_39_55.pickle,18-Jun_06_39_59,"[20348.71661591802, 20350.021428260487, 20348.106480411137, 20355.21350689062, 20354.83135778102, 20313.222541424868, 20375.01732043855, 20361.715842739926, 20339.104794150873, 20350.691115767317]"," 20,349.66 ",15.13115739,"[409, 408, 0, 0, 0, 404, 0, 403, 407, 407]"
LSTM_2018-2020_lstm_v1_14-Jun_00_17_13.pickle,14-Jun_00_17_22,"[17398.924890287555, 17369.15196198621, 17400.303765616365, 17384.82087187661, 17389.88205327389, 17452.31810749306, 17419.303922999898, 17380.3448298766, 17339.587422739627, 17406.699492739644]",17394.13373,28.51703275,"[234, 0, 0, 243, 232, 0, 234, 233, 232, 0]"
LSTM_2018-2020_lstm_v2_14-Jun_00_41_27.pickle,14-Jun_00_41_34,"[13191.005148205688, 13191.557956287885, 13172.243604767325, 13179.10086339747, 13197.088061287883, 13178.455076863218, 13179.10086339747, 13191.557956287885, 13179.969848822118, 13179.10086339747]",13183.91802,7.692550905,"[543, 0, 0, 0, 0, 541, 0, 0, 0, 0]"
