Fichero,date,l_total_reward,mean_reward,std_reward,last portfolio
PPO_2008-2009_v2_pickle.pickle,21-May_17_39_28,"[124.46894810954109, 631.2127112053277, 486.1097133831063, 91.51270824612584, 586.3587967808562, 170.1999063975527, 651.1993081780529, 291.03314799963846, 416.48676528737997, 496.3141270138294]",394.489613260141,200.92613134793936,"[[2, 0, 0, 414, 0, 1, 0, 4, 500, 1], [34, 0, 1, 404, 0, 0, 2, 9, 481, 5], [22, 0, 0, 400, 3, 0, 0, 20, 500, 0], [20, 0, 0, 419, 0, 0, 1, 1, 462, 0], [15, 0, 0, 425, 1, 1, 1, 2, 517, 2], [16, 0, 0, 411, 1, 0, 2, 7, 495, 0], [6, 0, 0, 408, 2, 3, 0, 20, 536, 0], [3, 0, 0, 413, 1, 0, 0, 17, 485, 2], [0, 0, 1, 400, 0, 2, 0, 1, 512, 0], [5, 0, 0, 423, 4, 0, 0, 5, 504, 0]]"
PPO_2020-2022_v2_pickle.pickle,21-May_22_50_52,"[21921.659901903768, 20143.109794931195, 20645.26623819144, 19569.72662794491, 19809.64630680815, 24304.041081246236, 20024.683985670854, 22599.588108205484, 19082.112375575147, 20437.569997328435]",20853.74044178056,1529.0353314490826,"[[224, 17, 105, 366, 2, 0, 295, 0, 8, 241], [205, 4, 94, 324, 0, 1, 310, 0, 0, 233], [197, 0, 101, 352, 1, 0, 288, 0, 0, 207], [200, 2, 39, 359, 0, 0, 295, 0, 4, 233], [192, 3, 110, 366, 1, 1, 267, 0, 8, 245], [232, 0, 145, 316, 0, 0, 304, 0, 0, 234], [201, 2, 138, 361, 0, 1, 283, 1, 1, 223], [234, 19, 88, 378, 0, 0, 283, 0, 3, 223], [194, 1, 61, 363, 0, 1, 291, 2, 1, 186], [193, 6, 109, 351, 0, 0, 299, 0, 2, 230]]"
PPO_2012-2014_v2_pickle.pickle,22-May_03_54_33,"[5418.382635835704, 5023.886067411004, 5119.447810465877, 5245.202244698667, 4912.758304904273, 5405.526055699273, 5643.602123575212, 4835.449133013579, 5240.716061082232, 5410.587564781075]",5225.55580014669,241.06883903646835,"[[183, 7, 9, 4, 157, 1, 0, 5, 150, 150], [135, 5, 0, 16, 181, 0, 4, 11, 135, 139], [168, 3, 1, 7, 177, 1, 0, 25, 129, 154], [158, 17, 3, 7, 171, 1, 1, 17, 150, 128], [158, 5, 0, 3, 151, 0, 0, 8, 173, 108], [194, 10, 1, 4, 189, 1, 6, 10, 147, 153], [212, 12, 2, 2, 139, 1, 3, 1, 163, 144], [150, 0, 12, 2, 188, 2, 1, 27, 160, 158], [175, 0, 2, 12, 164, 0, 1, 3, 140, 143], [186, 1, 4, 1, 193, 1, 9, 4, 148, 151]]"
PPO_2018-2020_v2_pickle.pickle,22-May_08_51_18,"[7650.544202561636, 7748.492567698675, 7974.233465013662, 8010.467298986303, 8113.827779411091, 7536.167770780972, 8040.345389452166, 7067.8249008360435, 6959.037231137336, 7574.062600191639]",7667.500320606952,380.0381394633476,"[[139, 0, 84, 79, 135, 0, 0, 0, 317, 0], [112, 3, 105, 109, 186, 2, 0, 0, 317, 0], [129, 4, 116, 96, 152, 1, 0, 1, 325, 0], [120, 0, 67, 92, 162, 0, 8, 0, 304, 1], [124, 0, 77, 77, 177, 0, 31, 0, 306, 0], [124, 2, 136, 72, 138, 2, 6, 0, 305, 0], [125, 0, 125, 124, 129, 0, 2, 0, 315, 4], [126, 0, 97, 107, 140, 0, 5, 0, 300, 1], [105, 1, 158, 105, 153, 0, 1, 0, 297, 0], [138, 1, 135, 88, 201, 1, 0, 0, 283, 0]]"
PPO_2008-2009-09-Jun_v1_pickle.pickle,09-Jun_12_41_34,"[-1656.628150452365, -1996.2027304797957, -1643.7791957124282, -1296.1354859728162, -1551.5862073838798, -1230.5715871234424, -1599.0252741234726, -1996.5210352604918, -1754.6735632192867, -1492.0888790411555]",-1621.7212108769133,241.10896958471125,"[[90, 2, 173, 332, 1, 2, 0, 16, 0, 0], [66, 2, 176, 346, 0, 0, 4, 1, 2, 0], [62, 0, 122, 362, 8, 1, 1, 0, 4, 1], [32, 0, 154, 326, 4, 1, 1, 0, 0, 2], [51, 1, 151, 366, 0, 0, 0, 3, 0, 0], [78, 0, 169, 329, 10, 0, 1, 0, 2, 0], [44, 0, 143, 308, 6, 0, 0, 3, 1, 0], [63, 1, 99, 367, 0, 0, 0, 1, 0, 0], [57, 1, 198, 369, 2, 1, 0, 3, 1, 0], [46, 1, 133, 326, 0, 0, 0, 5, 1, 1]]"
PPO_2020-2022-09-Jun_v1_pickle.pickle,09-Jun_12_42_47,"[9505.093946177818, 10323.954989657272, 8743.189341300778, 11176.789454629965, 9783.89404868448, 10980.234851849236, 8874.768472232565, 9750.136778328364, 10968.588750917479, 8826.636085410486]",9893.328671918844,886.091664530286,"[[0, 0, 0, 1, 0, 290, 266, 93, 0, 4], [0, 0, 0, 1, 0, 330, 261, 105, 0, 4], [1, 0, 1, 0, 3, 283, 227, 57, 0, 11], [0, 0, 1, 0, 0, 313, 267, 98, 0, 5], [3, 0, 0, 1, 0, 287, 288, 97, 0, 3], [0, 0, 0, 0, 3, 328, 256, 91, 0, 3], [3, 0, 0, 1, 1, 296, 225, 77, 0, 1], [0, 0, 0, 8, 4, 294, 266, 85, 2, 8], [2, 0, 0, 1, 1, 339, 268, 97, 0, 16], [2, 0, 0, 0, 0, 298, 234, 64, 1, 2]]"
PPO_2012-2014-09-Jun_v1_pickle.pickle,09-Jun_12_44_14,"[2309.8679590825923, 2404.6729322606843, 2185.166284342544, 1992.94449869862, 2118.2506798355025, 2857.749086876691, 2485.4695271918463, 1966.4967881370685, 2688.571110013756, 2559.5304802606115]",2356.871934669992,281.82676732664885,"[[0, 44, 54, 0, 15, 5, 51, 0, 314, 0], [1, 40, 10, 0, 2, 1, 84, 0, 342, 5], [0, 38, 15, 1, 1, 3, 62, 0, 301, 0], [0, 64, 26, 2, 3, 4, 25, 2, 298, 0], [0, 14, 45, 0, 2, 6, 18, 0, 311, 2], [1, 70, 20, 0, 1, 7, 113, 0, 318, 5], [0, 58, 2, 1, 34, 10, 79, 0, 321, 1], [1, 39, 39, 0, 2, 0, 15, 0, 333, 0], [0, 40, 19, 0, 1, 11, 88, 0, 312, 1], [0, 65, 64, 0, 17, 4, 50, 1, 322, 2]]"
PPO_2018-2020-09-Jun_v1_pickle.pickle,09-Jun_12_46_18,"[8228.691790123368, 6907.655412287801, 7639.94714247981, 8325.976197835524, 7973.694194164549, 8116.019486205871, 8130.659665356303, 7936.932909383773, 7844.656792767157, 7995.826370082243]",7910.005996068639,382.07025811907516,"[[0, 0, 369, 349, 31, 285, 185, 52, 224, 186], [0, 1, 416, 348, 22, 275, 136, 55, 240, 166], [0, 1, 389, 357, 39, 296, 141, 23, 239, 187], [0, 1, 372, 376, 28, 270, 154, 19, 273, 201], [0, 5, 361, 395, 30, 232, 192, 61, 229, 206], [0, 0, 357, 374, 41, 292, 171, 28, 236, 188], [0, 0, 374, 322, 32, 240, 177, 32, 237, 267], [0, 1, 356, 338, 58, 297, 175, 34, 229, 168], [0, 2, 388, 328, 29, 264, 172, 62, 253, 156], [0, 1, 377, 320, 24, 273, 176, 70, 232, 185]]"
PPO_2008-2009_v3_LR_0.0005.pickle,15-Jun_11_46_29,"[641.0903004112188, 620.0037761234853, 586.6906648496806, 544.8398796986294, 797.8102944522689, 445.5575909179461, 878.0083214385522, 407.03191143856384, 79.83206146606244, 507.86260480841156]",550.8727405604819,209.2233565112522,"[[407, 0, 37, 48, 0, 599, 0, 20, 73, 474], [399, 1, 33, 75, 0, 619, 0, 15, 45, 498], [380, 0, 36, 33, 0, 624, 0, 16, 58, 473], [425, 0, 28, 35, 0, 604, 0, 15, 29, 452], [425, 1, 48, 86, 0, 603, 0, 16, 52, 447], [384, 0, 29, 107, 1, 618, 0, 10, 54, 442], [416, 1, 20, 59, 0, 629, 0, 21, 21, 460], [406, 0, 35, 43, 1, 608, 0, 3, 50, 477], [412, 0, 37, 82, 0, 614, 0, 15, 46, 441], [416, 2, 29, 50, 0, 585, 0, 18, 12, 437]]"
PPO_2008-2009_v3_LR_0.0001.pickle,15-Jun_16_45_33,"[120.44558364359546, -1307.7558513565891, -762.7665025617171, 616.6019973285584, -1103.9688303842267, -168.28226120595355, -602.8845767400053, -968.6892151375068, -1946.159050739734, -342.4012742874911]",-646.585998144107,704.2497515553282,"[[137, 6, 211, 0, 3, 2, 90, 134, 27, 89], [142, 1, 194, 1, 0, 0, 40, 114, 20, 93], [124, 0, 153, 0, 0, 0, 78, 137, 54, 79], [142, 3, 162, 0, 0, 0, 110, 120, 58, 69], [169, 2, 176, 0, 0, 0, 96, 145, 19, 70], [163, 1, 162, 1, 6, 2, 114, 130, 27, 48], [163, 9, 196, 0, 0, 0, 88, 113, 51, 63], [145, 3, 169, 0, 2, 0, 89, 183, 64, 94], [123, 0, 172, 0, 0, 1, 135, 129, 40, 58], [148, 2, 164, 0, 1, 6, 84, 111, 31, 54]]"
