Periodo,Modelo,Media,Rendimiento
2008-2009,DQN_v2,-19740.72317,-19.74072317
2008-2009,LSTM_V2,-19400.17434,-19.40017434
2008-2009,A2C_V1,-9307.677297,-9.307677297
2008-2009,PPO_V3_LR_0.0005,-21855.02714,-21.85502714
2012-2014,DQN_v2,27189.47334,27.18947334
2012-2014,LSTM_V2,37434.49599,37.43449599
2012-2014,A2C_V1,31349.60675,31.34960675
2012-2014,PPO_V3_LR_0.0005,41481.43957,41.48143957
2018-2020,DQN_v2,10794.60664,10.79460664
2018-2020,LSTM_V2,9484.408913,9.484408913
2018-2020,A2C_V1,16579.38838,16.57938838
2018-2020,PPO_V3_LR_0.0005,14569.53002,14.56953002
2020-2022,DQN_v2,47107.59266,47.10759266
2020-2022,LSTM_V2,39028.97911,39.02897911
2020-2022,A2C_V1,31485.53941,31.48553941
2020-2022,PPO_V3_LR_0.0005,47011.82779,47.01182779
2008-2009,SP500,0,-20.73959182
2012-2014,SP500,0,41.95739466
2018-2020,SP500,0,16.92464867
2020-2022,SP500,0,47.1843053
